6491-11-01,6491-11-01
2407-04-01,2407-04-01
9284-08-01,9284-08-01
5360-09-01,5360-09-01
2736-09-01,2736-09-01
6470-06-01,6470-06-01
4157-10-01,4157-10-01
8355-01-01,8355-01-01
7283-11-01,7283-11-01
3789-07-01,3789-07-01
4120-08-01,4120-08-01
8349-08-01,8349-08-01
1954-09-01,1954-09-01
4133-08-01,4133-08-01
7753-06-01,7753-06-01
3850-06-01,3850-06-01
9847-01-01,9847-01-01
3512-05-01,3512-05-01
7256-12-31,7256-12-31
9481-04-01,9481-04-01
2567-10-01,2567-10-01
4923-12-31,4923-12-31
6167-03-01,6167-03-01
3808-12-31,3808-12-31
3495-09-01,3495-09-01
7122-11-01,7122-11-01
9439-04-01,9439-04-01
9385-02-01,9385-02-01
7654-09-01,7654-09-01
9421-05-01,9421-05-01
4180-11-01,4180-11-01
9486-11-01,9486-11-01
5500-01-01,5500-01-01
1036-10-01,1036-10-01
4946-11-01,4946-11-01
2003-10-01,2003-10-01
5520-10-01,5520-10-01
2863-02-01,2863-02-01
8571-01-01,8571-01-01
9016-11-01,9016-11-01
3486-02-01,3486-02-01
6690-04-01,6690-04-01
1193-03-01,1193-03-01
8573-03-01,8573-03-01
6027-12-31,6027-12-31
4976-02-01,4976-02-01
5599-06-01,5599-06-01
2443-02-01,2443-02-01
2253-05-01,2253-05-01
9778-09-01,9778-09-01
2399-08-01,2399-08-01
9321-10-01,9321-10-01
7630-10-01,7630-10-01
4029-08-01,4029-08-01
1079-07-01,1079-07-01
3914-03-01,3914-03-01
7017-11-01,7017-11-01
6348-05-01,6348-05-01
5224-07-01,5224-07-01
1994-06-01,1994-06-01
8954-03-01,8954-03-01
5736-09-01,5736-09-01
7151-02-01,7151-02-01
6791-04-01,6791-04-01
4217-01-01,4217-01-01
8805-11-01,8805-11-01
1117-12-31,1117-12-31
6849-12-31,6849-12-31
5537-05-01,5537-05-01
5571-12-31,5571-12-31
5961-10-01,5961-10-01
8814-03-01,8814-03-01
1915-02-01,1915-02-01
5631-03-01,5631-03-01
4527-11-01,4527-11-01
4764-06-01,4764-06-01
2514-02-01,2514-02-01
6155-08-01,6155-08-01
9147-09-01,9147-09-01
8606-07-01,8606-07-01
2509-01-01,2509-01-01
1553-03-01,1553-03-01
1015-09-01,1015-09-01
8092-04-01,8092-04-01
6907-05-01,6907-05-01
9154-06-01,9154-06-01
4311-12-31,4311-12-31
2596-05-01,2596-05-01
8021-12-31,8021-12-31
5986-08-01,5986-08-01
3555-10-01,3555-10-01
8315-10-01,8315-10-01
1433-11-01,1433-11-01
5751-12-31,5751-12-31
5009-07-01,5009-07-01
6404-09-01,6404-09-01
6591-10-01,6591-10-01
2998-11-01,2998-11-01
2540-11-01,2540-11-01
5215-12-31,5215-12-31
2698-12-31,2698-12-31
9450-07-01,9450-07-01
5757-01-01,5757-01-01
7293-08-01,7293-08-01
2320-04-01,2320-04-01
7128-12-31,7128-12-31
2125-09-01,2125-09-01
3154-04-01,3154-04-01
3480-03-01,3480-03-01
8230-07-01,8230-07-01
6786-11-01,6786-11-01
3449-12-31,3449-12-31
4750-04-01,4750-04-01
2708-11-01,2708-11-01
8560-05-01,8560-05-01
8019-07-01,8019-07-01
9719-06-01,9719-06-01
5457-08-01,5457-08-01
2512-09-01,2512-09-01
2127-03-01,2127-03-01
9485-04-01,9485-04-01
9985-04-01,9985-04-01
8371-07-01,8371-07-01
8567-12-31,8567-12-31
8499-10-01,8499-10-01
7396-04-01,7396-04-01
5735-11-01,5735-11-01
6148-01-01,6148-01-01
3223-11-01,3223-11-01
1622-11-01,1622-11-01
4612-12-31,4612-12-31
8411-10-01,8411-10-01
2453-05-01,2453-05-01
9273-11-01,9273-11-01
7384-12-31,7384-12-31
3637-03-01,3637-03-01
3328-03-01,3328-03-01
7454-02-01,7454-02-01
5885-01-01,5885-01-01
2973-04-01,2973-04-01
7856-09-01,7856-09-01
3841-06-01,3841-06-01
5175-10-01,5175-10-01
8385-02-01,8385-02-01
9251-05-01,9251-05-01
2751-11-01,2751-11-01
3067-10-01,3067-10-01
4578-03-01,4578-03-01
7433-12-31,7433-12-31
2524-04-01,2524-04-01
1520-05-01,1520-05-01
9643-04-01,9643-04-01
7982-10-01,7982-10-01
4733-08-01,4733-08-01
9431-11-01,9431-11-01
6454-06-01,6454-06-01
4944-10-01,4944-10-01
