1904,1904
2073,2073
2093,2093
1989,1989
2060,2060
2077,2077
1960,1960
2041,2041
2034,2034
2090,2090
1911,1911
2037,2037
2045,2045
2095,2095
2040,2040
2150,2150
2137,2137
2146,2146
1979,1979
2066,2066
2151,2151
2015,2015
1980,1980
1940,1940
1956,1956
2083,2083
2124,2124
1916,1916
1909,1909
2027,2027
2056,2056
1958,1958
2149,2149
1933,1933
2039,2039
1948,1948
2069,2069
1930,1930
2152,2152
1905,1905
2036,2036
2134,2134
2076,2076
2029,2029
2109,2109
1955,1955
1963,1963
2059,2059
2075,2075
1984,1984
2001,2001
1953,1953
1967,1967
2107,2107
1966,1966
1986,1986
2112,2112
2100,2100
2129,2129
2086,2086
1962,1962
1908,1908
1990,1990
1985,1985
2119,2119
1992,1992
2007,2007
2064,2064
2011,2011
2140,2140
1915,1915
2026,2026
2050,2050
2046,2046
1952,1952
2021,2021
2002,2002
1949,1949
2120,2120
1995,1995
1997,1997
1924,1924
2123,2123
2143,2143
1929,1929
1914,1914
1920,1920
2132,2132
1934,1934
1921,1921
2022,2022
1919,1919
1938,1938
1937,1937
2080,2080
1983,1983
2033,2033
2126,2126
1957,1957
1961,1961
1975,1975
1972,1972
2065,2065
2044,2044
2025,2025
2130,2130
1994,1994
2055,2055
2138,2138
1981,1981
1907,1907
1923,1923
2032,2032
2068,2068
1936,1936
1903,1903
2141,2141
2085,2085
2115,2115
1910,1910
1928,1928
1998,1998
2003,2003
2092,2092
2067,2067
2070,2070
1917,1917
2058,2058
1926,1926
2114,2114
2043,2043
2089,2089
2148,2148
2009,2009
2096,2096
2008,2008
2082,2082
1951,1951
2108,2108
2018,2018
2097,2097
2057,2057
2103,2103
1974,1974
2023,2023
1993,1993
1982,1982
1973,1973
2111,2111
2133,2133
2047,2047
2079,2079
1976,1976
1944,1944
2071,2071
1970,1970
1987,1987
2131,2131
2125,2125
2016,2016
2098,2098
1977,1977
2155,2155
2019,2019
2110,2110
1927,1927
2030,2030
2117,2117
1945,1945
2118,2118
2113,2113
2020,2020
2104,2104
1941,1941
2051,2051
2147,2147
1913,1913
1978,1978
2004,2004
1964,1964
2042,2042
2052,2052
2035,2035
2000,2000
2028,2028
1959,1959
2049,2049
2139,2139
2121,2121
2145,2145
2006,2006
2091,2091
2005,2005
2024,2024
2013,2013
2153,2153
2061,2061
1947,1947
2078,2078
1954,1954
2088,2088
1942,1942
2136,2136
1906,1906
2135,2135
2087,2087
2031,2031
1988,1988
1991,1991
1902,1902
1965,1965
2063,2063
2010,2010
1968,1968
2099,2099
1971,1971
1925,1925
1922,1922
1943,1943
1932,1932
2014,2014
2054,2054
2105,2105
1918,1918
2062,2062
1969,1969
2106,2106
2074,2074
1931,1931
2072,2072
2144,2144
1950,1950
1996,1996
2017,2017
2053,2053
2084,2084
2012,2012
2048,2048
2127,2127
2081,2081
1935,1935
2154,2154
2122,2122
1912,1912
2101,2101
1939,1939
2038,2038
1901,1901
1946,1946
2128,2128
2094,2094
2102,2102
1999,1999
2142,2142
2116,2116
