183265;1;c
596115;4;b,c
883719;1;a,c
29370;4;a,c
210861;5;a
558417;2;b
755898;4;a,b
812460;4;a,b,c
222499;3;a
318387;4;c
312975;2;b
873410;4;c
608902;5;b,c
529936;3;a
446103;1;a
412882;4;a,b
261961;1;b,c
393307;3;b,c
699764;3;a,b,c
779685;5;b
715652;3;a,c
701257;2;b,c
370291;4;b
621556;3;a
594095;2;c
695825;4;c
492926;3;b
587996;2;a,c
47846;3;c
590743;1;b,c
477188;2;b,c
349643;4;a
478190;4;a
581638;1;b,c
845321;3;b
211223;5;b,c
312767;4;a
167804;1;a,b
361408;1;a,b
690072;3;b
865634;3;c
587058;1;b
808928;1;a,b
648486;2;c
896358;5;b
534695;2;c
331659;5;c
211594;4;a,b,c
629708;1;a,b
81543;2;a,b
343697;5;a,c
694002;1;a,b
749989;4;b,c
312055;3;c
123197;5;a,b
816481;1;a,b
152862;5;a,b
98115;4;a
49900;2;a
866623;2;b
693670;3;a,c
228466;3;b,c
379663;2;a,b
512567;1;c
704683;3;a,c
678007;5;c
622995;4;b
575386;4;a,c
770102;5;b
643206;5;a,b,c
613945;1;b,c
791013;5;a,b,c
305858;5;b,c
309676;4;a,b
90162;5;a
591446;2;a,b
299196;2;b
623661;2;a,c
865536;3;b
555726;3;a,c
121532;2;b,c
267735;1;a,b,c
726640;2;a,b
870651;2;a
909351;2;c
117067;5;a
176617;5;b
900739;4;b,c
1555;4;b
250976;1;a,c
885577;2;a,b
413975;5;a,c
753404;5;a
772485;1;c
507823;4;a,b,c
618266;1;a,b
250637;1;b
556103;3;a,b
405154;2;b
427936;4;a,b,c
651994;4;b
564494;4;b,c
230722;4;b
414817;2;a,b,c
539157;1;a,b,c
650454;4;b
791977;4;a
544804;1;b,c
325617;1;b
363608;5;a
238187;5;a,b
77974;2;b,c
638331;5;c
745950;3;a,c
583771;5;b
144323;1;b
248586;2;a
472721;4;c
147779;5;a
781066;4;a,c
883180;4;a,b,c
442138;3;b,c
549069;2;c
121496;1;a
267612;4;a,b,c
794567;2;a,c
858504;5;a,b,c
828332;1;c
321419;5;a,b
546913;1;b,c
483579;3;b
227826;5;a,b
551220;5;a,b,c
630384;3;b,c
395421;4;a
609960;4;a,b
334240;4;a,b
202451;4;a,b
736876;4;a,b,c
727356;2;a,c
68611;5;a,c
305746;1;a
731870;4;c
262734;1;a,b,c
273096;4;a,b,c
144693;1;a,b,c
491956;5;a,c
858642;3;a
835445;2;a,b,c
886713;3;a
164855;2;a,b
69545;1;a,b
63111;2;a,b
623915;2;a
902261;4;c
762066;5;a
196568;3;a,b,c
522424;5;a
78963;4;c
309209;4;b
729361;3;a,b
876769;1;c
417083;2;b,c
534304;3;a,c
525043;4;a,b
252239;4;a,c
476514;3;a,c
352593;4;a,b,c
732397;2;b,c
856529;3;c
532418;3;a,b
316644;1;a,b
888408;1;b,c
684566;5;a
797385;4;a
725453;3;c
75813;2;a
586216;5;a
268251;5;a
232780;3;b,c
249464;1;a,b
871788;5;b,c
507888;4;a,b,c
667062;5;a
519477;1;b
763897;2;b
687190;2;a
667139;1;b,c
225896;1;b
890349;1;b,c
564688;1;a,b
168577;3;a,b
887553;5;a,b,c
72018;4;c
794403;2;a,b,c
676795;5;a,c
828371;1;b,c
689280;2;b,c
530782;1;a,c
556476;4;c
416498;3;a,c
473676;3;b
231940;2;b,c
239458;3;b
678402;4;b
588705;1;c
546339;1;b,c
487108;2;a
525645;2;c
666434;2;a,b
898084;5;c
188178;5;a,c
720107;5;a,c
679504;1;a,b
326294;3;c
413943;4;b,c
613634;4;a
598319;3;a,c
339357;3;a
17881;2;b,c
365449;2;b
519901;4;b
766900;5;b
726410;2;b,c
621798;2;c
611260;3;b
245909;2;b,c
367035;4;a,c
847947;1;b
627916;2;a
420621;5;b
503085;5;b
656791;4;b
735772;5;a
179409;3;b,c
767938;3;b
201358;1;a,b,c
747130;1;a
668947;3;c
568656;1;b,c
105989;4;b,c
314752;3;b
443083;3;b,c
531665;5;a,b,c
520224;2;b,c
901019;3;b
108100;4;a,b
592561;3;b
812337;5;a,c
772658;3;b
747058;3;a,c
678635;4;b,c
437407;5;a,c
243726;2;b
345080;2;a,b
754433;1;b
562628;5;c
681034;1;a,b
635002;2;a,b
545932;3;a,c
112838;5;a,b,c
567953;4;c
532311;1;a,c
833437;2;a,c
454309;1;b,c
141014;3;a,c
162068;4;c
