1999-04-01 04:00:00,1999-04-01 04:00:00
2028-04-01 08:00:00,2028-04-01 08:00:00
2006-09-01 03:00:00,2006-09-01 03:00:00
1971-06-01 03:00:00,1971-06-01 03:00:00
1979-06-01 02:00:00,1979-06-01 02:00:00
1978-02-01 11:00:00,1978-02-01 11:00:00
2036-09-01 00:01:00,2036-09-01 00:01:00
2020-01-01 05:00:00,2020-01-01 05:00:00
2033-11-01 10:00:00,2033-11-01 10:00:00
2011-02-01 06:00:00,2011-02-01 06:00:00
2005-10-01 12:00:00,2005-10-01 12:00:00
1990-10-01 04:00:00,1990-10-01 04:00:00
2026-11-01 05:00:00,2026-11-01 05:00:00
2027-06-01 06:00:00,2027-06-01 06:00:00
2022-03-01 00:01:00,2022-03-01 00:01:00
1996-06-01 10:00:00,1996-06-01 10:00:00
2036-11-01 01:00:00,2036-11-01 01:00:00
2037-01-01 09:00:00,2037-01-01 09:00:00
1997-07-01 08:00:00,1997-07-01 08:00:00
1998-01-01 04:00:00,1998-01-01 04:00:00
2037-11-01 09:00:00,2037-11-01 09:00:00
2020-01-01 10:00:00,2020-01-01 10:00:00
1985-11-01 01:00:00,1985-11-01 01:00:00
1981-10-01 12:00:00,1981-10-01 12:00:00
1995-07-01 05:00:00,1995-07-01 05:00:00
1974-07-01 03:00:00,1974-07-01 03:00:00
2015-07-01 06:00:00,2015-07-01 06:00:00
2036-06-01 05:00:00,2036-06-01 05:00:00
1974-11-01 06:00:00,1974-11-01 06:00:00
1970-02-01 12:00:00,1970-02-01 12:00:00
2037-01-01 05:00:00,2037-01-01 05:00:00
2036-08-01 04:00:00,2036-08-01 04:00:00
2026-08-01 01:00:00,2026-08-01 01:00:00
1996-07-01 04:00:00,1996-07-01 04:00:00
2031-09-01 10:00:00,2031-09-01 10:00:00
2032-01-01 04:00:00,2032-01-01 04:00:00
2015-05-01 04:00:00,2015-05-01 04:00:00
2032-07-01 12:00:00,2032-07-01 12:00:00
2016-04-01 00:01:00,2016-04-01 00:01:00
1987-03-01 01:00:00,1987-03-01 01:00:00
2036-04-01 04:00:00,2036-04-01 04:00:00
2014-11-01 11:00:00,2014-11-01 11:00:00
2029-06-01 02:00:00,2029-06-01 02:00:00
2010-10-01 12:00:00,2010-10-01 12:00:00
2027-03-01 10:00:00,2027-03-01 10:00:00
2026-04-01 04:00:00,2026-04-01 04:00:00
1977-04-01 04:00:00,1977-04-01 04:00:00
2032-09-01 01:00:00,2032-09-01 01:00:00
2033-01-01 05:00:00,2033-01-01 05:00:00
2012-11-01 00:01:00,2012-11-01 00:01:00
2014-03-01 12:00:00,2014-03-01 12:00:00
1989-06-01 08:00:00,1989-06-01 08:00:00
1977-06-01 02:00:00,1977-06-01 02:00:00
2005-07-01 09:00:00,2005-07-01 09:00:00
2012-09-01 11:00:00,2012-09-01 11:00:00
1994-05-01 00:01:00,1994-05-01 00:01:00
2033-06-01 06:00:00,2033-06-01 06:00:00
2033-02-01 07:00:00,2033-02-01 07:00:00
2030-10-01 12:00:00,2030-10-01 12:00:00
2032-04-01 10:00:00,2032-04-01 10:00:00
2004-08-01 07:00:00,2004-08-01 07:00:00
2017-05-01 05:00:00,2017-05-01 05:00:00
2005-10-01 05:00:00,2005-10-01 05:00:00
2017-05-01 06:00:00,2017-05-01 06:00:00
2005-09-01 00:01:00,2005-09-01 00:01:00
1990-08-01 06:00:00,1990-08-01 06:00:00
1980-07-01 08:00:00,1980-07-01 08:00:00
2004-05-01 12:00:00,2004-05-01 12:00:00
1994-08-01 11:00:00,1994-08-01 11:00:00
1992-02-01 05:00:00,1992-02-01 05:00:00
2003-09-01 01:00:00,2003-09-01 01:00:00
1986-08-01 03:00:00,1986-08-01 03:00:00
1975-01-01 11:00:00,1975-01-01 11:00:00
