    (b'01001111111110001101000111000100',b'01001111111110001101000111000100'),
    (b'10110100110100011010001111111101',b'10110100110100011010001111111101'),
    (b'10010001000111000100001100110100',b'10010001000111000100001100110100'),
    (b'01011100100100110111010010100001',b'01011100100100110111010010100001'),
    (b'10100001000100101111011101010110',b'10100001000100101111011101010110'),
    (b'10010001100101100101111111000010',b'10010001100101100101111111000010'),
    (b'00010011101101110101100111101010',b'00010011101101110101100111101010'),
    (b'10111100010011110011110100000101',b'10111100010011110011110100000101'),
    (b'01011011001001110011100011001011',b'01011011001001110011100011001011'),
    (b'10100100100010000111011010110101',b'10100100100010000111011010110101'),
    (b'10110001010110001001011110110010',b'10110001010110001001011110110010'),
    (b'00001000100011011010000011110101',b'00001000100011011010000011110101'),
    (b'11001011101100100110100110000100',b'11001011101100100110100110000100'),
    (b'01111100000111110000011001100100',b'01111100000111110000011001100100'),
    (b'10100000010001110000011011011001',b'10100000010001110000011011011001'),
    (b'01110001101000001101000100001110',b'01110001101000001101000100001110'),
    (b'01011110001010000111111101010000',b'01011110001010000111111101010000'),
    (b'01000110100101011101101110011111',b'01000110100101011101101110011111'),
    (b'00110000111000100101111100110011',b'00110000111000100101111100110011'),
    (b'10110000101000000000111010011110',b'10110000101000000000111010011110')
