70	SOPTQBRCVDUWXYZ
25	HIJfghiujmklnopqvwxyzEKLMNASOPTQBRC
1010	mklnopqvwxyzEKLMNASOPTQBRCVD
3591	opqvwxyzEKLMNASOPTQ
14	nopqvwxyz
57	xyzEKLMNASOPTQBRCVDUWXYZ
2767	BRCVDUWXYZ
1387	SOPTQBRCVDUWXYZ
2439	PTQBRCVDUWXYZ
997	FGtHI
3611	OPTQBR
6	ASOPTQBRCVDUWXYZ
112	PTQBRCVDUWXYZ
138	opqvwxyzEKLMNASOP
63	deF
61	LMNASOPTQBRCVDUWXYZ
2640	NASOPTQBRCVDUWXYZ
118	MNASOPTQBRCVDUWXYZ
2629	opqvwxyzEKLMNASOPTQBRCV
5	zEKLMNASOPTQB
2893	SOPTQBRCVDUWX
7427	ujmklnopqvwxyzEK
2293	yzEKLMNASOPTQBRCVDUWX
3	deFGt
2635	CVDUWXYZ
8161	BRCVDUWXYZ
4031	GtHIJfghiuj
53	CVDUWXYZ
81	hiujmklnopqvw
2358	deFGtHIJfghiujmkln
3809	hiujmklno
62	jmklnopqvwxyzEKLMNASOPTQBRCVDUWX
2963	pqvwxyzEKLMNASOPTQBRCVDUWXYZ
4025	ujmklnopqvwxyzEKLMN
4351	fghiujmklnopqvwxyzEKLMNASOPTQBRCVDUWXY
3751	pqvwxyzEKLMNASOPT
1532	OPTQBRCVDUWXYZ
1711	xyzEKLMNASOPTQBRCVDUWXYZ
2611	zEKLMNASOPTQBRCVDUW
71	mklnopqvwxyzEKLMNASOPTQBRCVDUWXYZ
47	QBRCVDUWXYZ
969	yzEKLMNASOPTQBRCVDUWXYZ
3487	LMNASOPTQBRCVDUWXYZ
8190	iujmklnop
10	FGtHIJfghiujmklnop
3208	vwxyzEKLMNASOPTQBRCVDUWXYZ
2982	CVD
2514	BRCVDUWXYZ
3324	vwxyzEKLMNASOPTQBRCVDUWXYZ
1236	RCVDUWXYZ
3099	tHIJfghiujmklnopqvwxyzEKLMNASOPTQ
83	NASOPTQBRCVDUWXYZ
3107	TQBRCVDUWXYZ
2449	FGtHIJfghiujmklnopqvwxyzEK
3711	jmklnopqvwxyzEKLMNASOPTQBR
17	KLMNASOPTQBRCVDUWXYZ
3727	FGtHIJfghiu
28	RCVDUWXYZ
